Item,Qty,Reference(s),Value,Footprint,Mouser
1,10,"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29",0.01u,SoundBlaster:SB_C_DISC_200,810-FG28X7R1H103KNT0
2,11,"C30, C38, C39, C42, C43, C44, C45, C46, C55, C87, C88",10uF 16V,SoundBlaster:SB_C_RADIAL_75_150,667-ECA-1CM100I
3,7,"C31, C36, C37, C49, C54, C63, C78",1000p,SoundBlaster:SB_C_DISC_200,810-FG28X7R1H102KNT6
4,4,"C32, C35, C52, C79",330p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H331JNT6
5,24,"C33, C34, C47, C48, C50, C53, C56, C69, C70, C71, C72, C73, C74, C75, C76, C77, C80, C81, C82, C83, C84, C85, C86, C89",0.1u,SoundBlaster:SB_C_AXIAL_275,581-SA105E104M
6,1,C40,100uF 16V,SoundBlaster:SB_C_RADIAL_100_320,667-ECA-1CM101I
7,2,"C41, C59",47p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H470JNT6
8,3,"C51, C58, C60",2200p,SoundBlaster:SB_C_DISC_200,810-FG28X7R1H222KNT6
9,1,C57,4700p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H472JNT6
10,2,"C61, C62",30p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H270JNT6
11,3,"C64, C65, C66",DNI,SoundBlaster:SB_C_DISC_200,
12,1,C67,470p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H471JNT6
13,1,C68,270p,SoundBlaster:SB_C_DISC_200,810-FG28C0G1H271JNT0
14,9,"C90, C91, C92, C93, C94, C95, C96, C97, C98",1u,Passive:CAPC2012X55,187-CL21B105KAFNNNE
15,2,"D1, D2",1N4148,SoundBlaster:SB_D_AXIAL_400,512-1N4148
16,2,"G1, G2",logo1,SoundBlasterMCA:Snark_BarkerMCA,
17,1,J1,BUS_MCA,Conn:BUS_MCA,
18,3,"J2, J4, J5",HPLA_PORT,Pin_Headers:Pin_Header_Straight_2x10_Pitch2.54mm,
19,1,J3,Conn_01x06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,
20,1,J6,DEBUG,Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm,
21,3,"L1, L2, L3",BEAD,SoundBlaster:SB_L_AXIAL_500,623-2743004111
22,2,"MIC1, S1",SJ1-3553NG,SoundBlaster:SB_SJ1-3553,490-SJ1-3553NG
23,1,P1,Joystick/MIDI,SoundBlaster:SB_DB15_152-3415,152-3415
24,2,"R1, R2",100,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-100R
25,9,"R3, R4, R8, R23, R24, R34, R36, R37, R40",10K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-10K
26,3,"R5, R9, R12",470K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JR-52470K
27,3,"R6, R7, R11",68K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-68K
28,1,R10,39K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-39K
29,1,R13,39.0K 1%,SoundBlaster:SB_R_AXIAL_400,603-MFR-25FBF52-39K
30,1,R14,100.0K 1%,SoundBlaster:SB_R_AXIAL_400,603-MFR-25FBF52-100K
31,2,"R15, R16",470,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-470R
32,1,R17,33K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-33K
33,1,R18,1.5K 1%,SoundBlaster:SB_R_AXIAL_400,603-MFR-25FBF52-1K5
34,3,"R19, R20, R21",390,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-390R
35,3,"R22, R25, R27",27K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-27K
36,3,"R26, R39, R41",4.7K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-4K7
37,2,"R28, R31",15K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-15K
38,2,"R29, R30",47K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-47K
39,2,"R32, R33",1.5K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-1K5
40,1,R35,2.2K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JB-52-2K2
41,1,R38,2.70K 1%,SoundBlaster:SB_R_AXIAL_400,603-MFR-25FBF52-2K7
42,1,R43,1K,SoundBlaster:SB_R_AXIAL_400,603-CFR-25JR-521K
43,1,RP1,2.2K,SoundBlaster:SB_RP_4B,652-4608X-AP2-222LF
44,2,"RP2, RP3",1K,SoundBlaster:SB_RP_4C,652-4605X-AP1-102LF
45,2,"T1, T2",2N3904,SoundBlaster:SB_TO92,833-2N3904-AP
46,1,U1,NE558,SoundBlaster:SB_DIP16_300,
47,1,U2,74HCT245,SoundBlaster:SB_DIP20_300,595-SN74HCT245NE4
48,1,U3,74HCT244,SoundBlaster:SB_DIP20_300,595-SN74HCT244NE4
49,1,U5,LM324,SoundBlaster:SB_DIP14_300,926-LM324AN/NOPB
50,1,U6,LM393,SoundBlaster:SB_DIP8_300,595-LM393P
51,1,U9,YM3812,SoundBlaster:SB_DIP24_600,
52,1,U10,YM3014B,SoundBlaster:SB_DIP8_300,
53,1,U11,NJM3403A,SoundBlaster:SB_DIP14_300,513-NJM3403AD
54,1,U12,MC1408_DIP,SoundBlaster:SB_DIP16_300,926-DAC0808LCN/NOPB
55,1,U13,805X,SoundBlaster:SB_DIP40_600,556-A89S51-24PU
56,2,"U14, U15",SAA1099,SoundBlaster:SB_DIP18_300,
57,2,"U18, U19",74HCT374,SoundBlaster:SB_DIP20_300,595-SN74HCT374N
58,4,"U20, U22, U23, U26",74HCT74,SoundBlaster:SB_DIP14_300,595-SN74HCT74NE4
59,1,U21,74HCT125,SoundBlaster:SB_DIP14_300,595-SN74HCT125NE4
60,3,"U24, U27, U30",74HCT32,SoundBlaster:SB_DIP14_300,595-SN74HCT32NE4
61,1,U25,SPARE,SoundBlaster:SB_DIP14_300,
62,1,U28,74HCT08,SoundBlaster:SB_DIP14_300,595-SN74HCT08NE4
63,1,U29,74HCT14,SoundBlaster:SB_DIP14_300,595-SN74HCT14N
64,1,U31,XC9572XL-TQ100,Active:TQFP50P1600X1600X140-100,217-9572XL-10TQG100C
65,1,U32,TC1262-3.3V,Active:SOT230P700X170-3,579-TC1262-3.3VDB
66,1,XTL1,12MHz,SoundBlaster:SB_XTAL_HC49U_RA,815-AB-12-B2
67,3,"ZD1, ZD2, ZD3",5.1V,SoundBlaster:SB_D_AXIAL_400_ALT,78-1N5231B-TAP
